,Joueur,Nationalité,Position,Équipe,Compétition,Âge,Année de naissance,Matchs joués,Titularisations,Minutes jouées,Matchs en 90 min,Buts,Passes décisives,Buts + Passes D,Buts (sans penalty),Pénaltys marqués,Pénaltys tentés,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus sans penalty,Passes décisives attendues (xAG),xG + xAG sans penalty,Courses progressives,Passes progressives,Réceptions progressives,Buts par 90 minutes,Passes décisives par 90 minutes,Buts + Passes décisives par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes décisives hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes décisives attendues par 90 minutes,Somme des buts et passes attendues par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des buts et passes attendues hors penalty par 90 minutes,Équivalents 90 minutes joués,Actions menant à un tir,Actions menant à un tir par 90 minutes,Passes en jeu menant à un tir,"Passes arrêtées (coups francs, corners) menant à un tir",Dribbles réussis menant à un tir,Tirs ayant provoqué un autre tir,Fautes subies menant à un tir,Actions défensives menant à un tir,Actions menant à un but,Actions menant à un but par 90 minutes,Passes en jeu menant à un but,"Passes arrêtées (coups francs, corners) menant à un but",Dribbles réussis menant à un but,Tirs ayant provoqué un but,Fautes subies menant à un but,Actions défensives menant à un but,Passes réussies,Passes tentées,Pourcentage de passes réussies,Distance totale des passes,Distance progressive des passes,Passes courtes réussies,Passes courtes tentées,Pourcentage de passes courtes réussies,Passes moyennes réussies,Passes moyennes tentées,Pourcentage de passes moyennes réussies,Passes longues réussies,Passes longues tentées,Pourcentage de passes longues réussies,Passes décisives,Passes décisives attendues,Passes attendues (xA),Différence entre passes décisives réelles et attendues,Passes clés,Passes dans le dernier tiers,Passes dans la surface,Centres dans la surface,Passes progressives,Deuxième carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentés,Interceptions,Tacles gagnants,Penaltys provoqués,Penaltys concédés,Buts contre son camp,Ballons récupérés,Duels aériens gagnés,Duels aériens perdus,Pourcentage de duels aériens gagnés,Buts,Tirs,Tirs cadrés,Pourcentage de tirs cadrés,Tirs par 90 minutes,Tirs cadrés par 90 minutes,Buts par tir,Buts par tir cadré,Distance moyenne des tirs,Coups francs tentés,Penaltys marqués,Penaltys tentés,Buts attendus hors penalty par tir,Différence entre les buts marqués et les buts attendus,Différence entre les buts marqués hors penalty et les buts attendus hors penalty,Tacles réussis,Tacles gagnants,Tacles réussis dans le tiers défensif,Tacles réussis dans le tiers médian,Tacles réussis dans le tiers offensif,Duels défensifs gagnés,Duels défensifs disputés,Pourcentage de duels gagnés,Duels défensifs perdus,Total de blocs (tirs et passes),Tirs bloqués,Passes bloquées,Interceptions,Total de tacles et d’interceptions,Dégagements,Erreurs menant à un tir ou un but,Minutes jouées par match,Pourcentage de minutes jouées,Matches débutés en tant que titulaire,Minutes jouées par titularisation,Matches joués en intégralité,Nombre d’entrées en jeu,Minutes jouées par entrée en jeu,Matches passés sur le banc sans entrer en jeu,Points par match (PPM),Buts marqués par l’équipe lorsque le joueur est sur le terrain,Buts encaissés par l’équipe lorsque le joueur est sur le terrain,Différence de buts lorsque le joueur est sur le terrain,Différence de buts par 90 minutes,Impact du joueur sur la différence de buts par rapport au temps passé sur le terrain,xG de l’équipe lorsque le joueur est sur le terrain,xG concédés par l’équipe lorsque le joueur est sur le terrain,Différence xG lorsque le joueur est sur le terrain,Différence xG par 90 minutes,Impact du joueur sur la différence xG lorsqu’il est sur le terrain ou non,Touches de balle,Touches de balle dans la surface défensive,Touches de balle dans le tiers défensif,Touches de balle dans le tiers médian,Touches de balle dans le tiers offensif,Touches de balle dans la surface offensive,Touches de balle en jeu (hors coups de pied arrêtés),Dribbles tentés,Dribbles réussis,Pourcentage de dribbles réussis,Dribbles stoppés par l’adversaire,Pourcentage de dribbles stoppés,Portées de balle,Distance totale parcourue avec le ballon (en mètres),Distance progressive parcourue avec le ballon,Portées de balle progressives,Portées de balle jusqu’au dernier tiers du terrain,Portées de balle entrant dans la surface adverse,Ballons perdus en conduite,Ballons perdus sous la pression d’un adversaire,Passes reçues,Passes progressives reçues
20,Francesco Acerbi,ITA,DF,Inter,Serie A,37,1988,15,15,1210,13.4,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,9,45,13,0.00,0.07,0.07,0.00,0.07,0.02,0.03,0.06,0.02,0.06,13.4,13,0.97,13,0,0,0,0,0,1,0.07,1,0,0,0,0,0,844,905,93.3,15948,4553,279,300,93.0,488,504,96.8,67,81,82.7,1,0.5,0.7,+0.5,7,37,3,2,45,0,9,14,1,6,22,13,0,0,0,36,42,21,66.7,0,4,1,25.0,0.30,0.07,0.00,0.00,11.2,0,0,0,0.08,-0.3,-0.3,16,13,10,6,0,7,10,70.0,3,18,13,5,22,38,64,0,81,46.4,15,81,13,0,0,6,2.20,25,14,+11,+0.82,-0.92,23.6,15.5,+8.1,+0.60,-0.68,1048,103,434,549,68,17,1048,2,2,100.0,0,0.0,658,2861,1408,9,10,1,7,1,774,13
21,Joshua Acheampong,ENG,DF,Chelsea,Premier League,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,0,2,0,0.0,1.06,0.00,0.00,0,8.9,0,0,0,0.11,-0.2,-0.2,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,43,6.5,2,80,1,2,5,10,2.00,2,3,-1,-0.53,-1.16,3.6,2.1,+1.5,+0.82,+0.27,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0
22,Akor Adams,NGA,FW,Sevilla,La Liga,25,2000,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,3,66.7,15,12,1,1,100.0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,33.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0.7,0,0,0,2,9,0,0.50,0,1,-1,-5.00,-4.86,0.1,0.5,-0.4,-2.09,-1.82,4,1,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
23,Akor Adams,NGA,FW,Montpellier,Ligue 1,25,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,112,179,62.6,1540,198,72,101,71.3,32,49,65.3,3,10,30.0,1,1.0,0.1,0.0,12,8,0,0,6,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,3,26,12,46.2,2.18,1.00,0.12,0.25,13.3,0,0,0,0.16,-1.3,-1.3,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,72,46.8,13,79,7,2,22,1,0.53,12,29,-17,-1.42,+0.13,12.8,23.6,-10.8,-0.90,-0.21,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45
24,Che Adams,SCO,FW,Torino,Serie A,28,1996,27,22,1913,21.3,8,3,11,8,0,0,2,0,5.2,5.2,1.8,7.1,18,28,115,0.38,0.14,0.52,0.38,0.52,0.25,0.09,0.33,0.25,0.33,21.3,54,2.54,43,1,0,5,5,0,5,0.24,4,0,0,1,0,0,315,433,72.7,4866,901,167,216,77.3,106,134,79.1,25,38,65.8,3,1.8,2.7,+1.2,23,25,5,0,28,0,19,29,16,9,1,3,0,0,0,39,28,49,36.4,8,43,20,46.5,2.02,0.94,0.19,0.40,16.6,0,0,0,0.12,+2.8,+2.8,8,3,1,3,4,0,4,0.0,4,8,4,4,1,9,15,0,71,73.3,22,80,14,5,31,1,1.30,26,26,0,0.00,0.00,18.5,26.7,-8.2,-0.38,+0.27,608,13,42,301,273,68,608,31,10,32.3,17,54.8,383,1619,566,18,14,4,49,23,471,115
25,Tyler Adams,USA,MF,Bournemouth,Premier League,26,1999,19,13,1245,13.8,0,3,3,0,0,0,4,0,1.2,1.2,0.8,1.9,8,46,6,0.00,0.22,0.22,0.00,0.22,0.08,0.06,0.14,0.08,0.14,13.8,25,1.81,21,0,0,0,0,4,4,0.29,3,0,0,0,0,1,539,645,83.6,8524,1989,259,291,89.0,242,274,88.3,20,39,51.3,3,0.8,0.3,+2.2,11,39,1,0,46,0,28,13,0,1,28,39,0,1,0,72,21,15,58.3,0,6,1,16.7,0.43,0.07,0.00,0.00,18.7,0,0,0,0.19,-1.2,-1.2,63,39,22,35,6,27,50,54.0,23,20,6,14,28,91,28,0,66,47.7,13,85,9,6,23,1,1.53,31,21,+10,+0.72,+0.59,25.8,20.2,+5.6,+0.40,-0.16,839,35,218,481,148,11,839,13,2,15.4,8,61.5,403,1768,770,8,14,1,20,8,449,6
26,Junior Adamu,AUT,FW,Freiburg,Bundliga,23,2001,19,13,1088,12.1,2,1,3,2,0,0,4,1,4.2,4.2,1.4,5.7,6,8,58,0.17,0.08,0.25,0.17,0.25,0.35,0.12,0.47,0.35,0.47,12.1,23,1.90,17,0,1,2,3,0,3,0.25,2,0,0,1,0,0,146,230,63.5,1744,215,89,131,67.9,37,56,66.1,1,3,33.3,1,1.4,1.5,-0.4,13,4,5,0,8,0,27,19,8,3,8,0,0,0,0,34,37,79,31.9,2,25,9,36.0,2.07,0.74,0.08,0.22,12.5,0,0,0,0.17,-2.2,-2.2,3,0,1,1,1,0,5,0.0,5,11,0,11,8,11,13,0,57,46.5,13,75,3,6,20,4,1.32,14,18,-4,-0.33,-0.47,16.5,12.2,+4.4,+0.36,+0.59,372,13,37,187,153,47,372,19,9,47.4,10,52.6,183,742,265,6,5,3,36,16,246,58
27,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27,1997,16,11,1091,12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.09,0.07,0.09,12.1,10,0.83,5,0,0,5,0,0,1,0.08,0,0,0,1,0,0,875,959,91.2,16057,5863,333,348,95.7,487,512,95.1,53,88,60.2,1,0.2,0.2,+0.8,1,48,0,0,30,0,7,3,1,0,9,10,0,0,0,30,32,22,59.3,1,11,2,18.2,0.91,0.16,0.09,0.50,12.3,0,0,0,0.08,+0.1,+0.1,14,10,10,4,0,8,12,66.7,4,7,6,1,9,23,52,0,68,41.8,11,87,10,5,28,13,1.69,25,12,+13,+1.07,+0.89,26.6,16.0,+10.6,+0.88,+0.53,1062,137,509,535,19,12,1062,2,2,100.0,0,0.0,642,2646,1509,5,1,0,3,0,823,1
28,Martin Adeline,FRA,MF,Reims,Ligue 1,21,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,26,1.1,0,0,0,1,26,1,1.00,0,1,-1,-3.46,-2.96,0.1,1.0,-1.0,-3.42,-2.85,14,2,8,4,2,1,14,0,0,0,0,0,6,35,9,1,0,1,0,0,9,1
29,Karim Adeyemi,GER,FW,Dortmund,Bundliga,23,2002,17,12,1003,11.1,3,3,6,3,0,0,3,0,3.4,3.4,3.7,7.1,49,21,110,0.27,0.27,0.54,0.27,0.54,0.30,0.34,0.64,0.30,0.64,11.1,40,3.60,22,1,9,5,2,1,4,0.36,3,0,1,0,0,0,230,305,75.4,3407,657,128,152,84.2,80,96,83.3,11,17,64.7,3,3.7,2.5,-0.7,22,8,14,1,21,0,14,13,2,19,5,10,0,0,0,38,7,8,46.7,3,34,12,35.3,3.05,1.08,0.09,0.25,18.2,0,0,0,0.10,-0.4,-0.4,13,10,5,4,4,4,10,40.0,6,11,1,10,5,18,5,0,59,42.9,12,72,2,5,29,0,1.41,20,19,+1,+0.09,-0.11,21.6,13.3,+8.3,+0.74,+0.52,462,8,42,174,254,54,462,64,31,48.4,30,46.9,309,2378,1126,49,29,26,26,22,339,110
30,Simon Adingra,CIV,FW,Brighton,Premier League,23,2002,20,6,625,6.9,2,1,3,2,0,0,0,0,1.5,1.5,1.1,2.6,23,10,81,0.29,0.14,0.43,0.29,0.43,0.22,0.16,0.37,0.22,0.37,6.9,25,3.60,18,0,4,3,0,0,4,0.58,3,0,1,0,0,0,171,226,75.7,2364,501,109,124,87.9,47,63,74.6,9,19,47.4,1,1.1,1.7,-0.1,8,3,8,2,10,0,9,0,1,21,6,7,0,0,0,31,3,1,75.0,2,16,5,31.3,2.30,0.72,0.13,0.40,16.8,0,0,0,0.09,+0.5,+0.5,14,7,7,5,2,6,18,33.3,12,7,0,7,6,20,4,1,31,23.9,6,64,0,14,17,6,1.60,12,13,-1,-0.14,-0.46,10.5,11.4,-0.9,-0.12,-0.28,332,6,52,104,181,40,332,32,14,43.8,18,56.3,217,1434,672,23,15,11,27,7,228,81
31,Amine Adli,MAR,MF,Leverkusen,Bundliga,24,2000,12,4,437,4.9,1,0,1,1,0,0,2,0,1.7,1.7,0.3,2.0,24,14,73,0.21,0.00,0.21,0.21,0.21,0.36,0.05,0.41,0.36,0.41,4.9,19,3.91,9,0,2,4,4,0,0,0.00,0,0,0,0,0,0,166,225,73.8,2027,390,109,127,85.8,41,59,69.5,4,11,36.4,0,0.3,1.3,-0.3,6,3,11,4,14,0,5,9,4,23,0,6,2,0,0,17,14,12,53.8,1,14,4,28.6,2.88,0.82,0.07,0.25,12.9,0,0,0,0.12,-0.7,-0.7,10,6,2,1,7,3,7,42.9,4,8,0,8,0,10,3,0,36,18.7,4,69,1,8,20,1,2.00,11,9,+2,+0.41,-0.72,11.2,4.8,+6.4,+1.33,+0.64,291,4,28,79,187,37,291,17,7,41.2,9,52.9,155,871,496,24,14,8,14,3,222,73
32,Yacine Adli,FRA,MF,Fiorentina,Serie A,24,2000,21,14,1122,12.5,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,22,96,23,0.24,0.32,0.56,0.24,0.56,0.04,0.17,0.21,0.04,0.21,12.5,45,3.61,32,9,2,2,0,0,8,0.64,4,2,1,1,0,0,651,800,81.4,12808,4151,275,303,90.8,260,290,89.7,108,178,60.7,4,2.2,2.0,+1.8,21,80,10,3,96,1,9,16,0,56,6,18,0,0,0,70,5,15,25.0,3,11,4,36.4,0.88,0.32,0.27,0.75,21.5,1,0,0,0.04,+2.5,+2.5,31,18,11,15,5,17,38,44.7,21,11,1,10,6,37,18,0,53,43.0,14,71,4,7,18,1,1.90,25,14,+11,+0.88,+0.58,18.3,12.9,+5.4,+0.43,+0.48,915,26,161,553,211,9,915,24,10,41.7,12,50.0,544,3195,1488,22,25,2,17,4,608,23
33,Adrián,ESP,GK,Betis,La Liga,38,1987,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,236,301,78.4,6039,4090,36,36,100.0,131,134,97.8,68,128,53.1,0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,90,32.1,9,90,9,0,0,17,2.27,20,12,+8,+0.89,+1.15,14.9,10.4,+4.5,+0.50,+0.30,310,261,309,1,0,0,310,0,0,0,0,0,187,901,593,0,0,0,0,0,159,0
34,Adryelson,BRA,DF,Lyon,Ligue 1,27,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0,0,0,0,1,1,2,3.00,0,0,0,0.00,-0.65,0.0,0.0,0.0,0.00,-0.29,5,1,2,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,Vasilije Adžić,MNE,MF,Juventus,Serie A,18,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,0.3,2,6.92,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,12,16,75.0,202,22,6,8,75.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,2,2,2,50.0,0,1,1,100.0,3.46,3.46,0.00,0.00,29.1,0,0,0,0.03,0.0,0.0,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,9,1.0,0,0,0,3,9,13,3.00,1,0,+1,+3.46,+2.90,0.3,0.1,+0.3,+0.90,+0.44,19,0,2,7,10,1,19,1,0,0.0,1,100.0,8,25,5,0,1,0,0,1,15,2
36,Michel Aebischer,SUI,MF,Bologna,Serie A,28,1997,9,5,427,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,23,10,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,4.7,11,2.31,8,2,0,0,0,1,0,0.00,0,0,0,0,0,0,205,237,86.5,3625,963,94,103,91.3,85,94,90.4,21,26,80.8,0,0.3,0.5,-0.3,6,24,3,1,23,0,9,10,0,6,5,7,0,0,0,21,4,6,40.0,0,7,3,42.9,1.48,0.63,0.00,0.00,20.3,1,0,0,0.04,-0.3,-0.3,10,7,3,5,2,7,11,63.6,4,3,1,2,5,15,5,0,47,16.4,5,65,1,4,25,6,1.56,5,5,0,0.00,-0.62,3.7,5.7,-2.0,-0.42,-1.02,284,8,42,173,72,8,284,4,2,50.0,1,25.0,160,673,271,6,8,2,4,3,196,10
37,Oladapo Afolayan,ENG,FW,St. Pauli,Bundliga,27,1998,25,14,1394,15.5,2,1,3,2,0,0,2,0,2.8,2.8,3.3,6.2,47,26,90,0.13,0.06,0.19,0.13,0.19,0.18,0.22,0.40,0.18,0.40,15.5,45,2.91,24,0,12,6,3,0,6,0.39,3,0,3,0,0,0,279,396,70.5,4870,1132,127,162,78.4,111,140,79.3,33,47,70.2,1,3.3,3.2,-2.3,18,19,11,9,26,0,19,34,9,46,7,8,1,0,0,62,15,39,27.8,2,31,10,32.3,2.00,0.65,0.06,0.20,19.6,0,0,0,0.09,-0.8,-0.8,16,8,4,8,4,6,18,33.3,12,14,1,13,7,23,18,0,56,59.6,14,79,2,11,26,1,1.00,13,22,-9,-0.58,-0.49,16.8,22.0,-5.2,-0.33,-0.29,628,12,75,265,300,52,628,84,43,51.2,35,41.7,415,2934,1189,47,39,23,47,37,461,90
38,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,1997,7,7,600,6.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.7,5,0.75,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,321,392,81.9,6519,2264,108,118,91.5,165,183,90.2,45,77,58.4,0,0.0,0.0,0.0,0,9,0,0,15,0,0,2,1,0,7,9,0,0,0,41,13,10,56.5,0,2,1,50.0,0.30,0.15,0.00,0.00,35.3,0,0,0,0.02,0.0,0.0,15,9,11,4,0,8,13,61.5,5,8,6,2,7,22,43,0,86,23.0,7,86,6,0,0,0,1.00,6,11,-5,-0.75,-0.17,7.1,10.9,-3.8,-0.57,-0.08,472,85,263,203,10,0,472,7,6,85.7,1,14.3,279,1449,665,1,2,0,2,2,296,0
39,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,14.0,21,1.50,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,810,922,87.9,16521,6962,293,316,92.7,400,417,95.9,110,174,63.2,0,0.3,0.3,-0.3,8,71,4,1,77,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1,0,15,3,20.0,1.07,0.21,0.00,0.00,28.8,1,0,0,0.04,-0.5,-0.5,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,90,53.8,14,90,14,0,0,0,1.36,19,17,+2,+0.14,+1.48,18.0,21.0,-3.0,-0.22,+0.84,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0
40,Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,15.00,0.00,0.00,0,26.3,0,0,0,0.02,0.0,0.0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0.2,0,0,0,2,3,10,0.00,0,0,0,0.00,-0.11,0.1,0.0,+0.1,+1.71,+1.40,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
41,Jeremy Agbonifo,SWE,FW,Lens,Ligue 1,19,2005,5,1,192,2.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,7,2,18,0.47,0.00,0.47,0.47,0.47,0.24,0.03,0.27,0.24,0.27,2.1,2,0.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,25,38,65.8,293,33,16,20,80.0,7,9,77.8,0,2,0.0,0,0.1,0.1,-0.1,1,1,1,1,2,0,7,3,2,3,1,3,0,0,0,7,0,5,0.0,1,3,2,66.7,1.41,0.94,0.33,0.50,13.0,0,0,0,0.17,+0.5,+0.5,4,3,4,0,0,2,3,66.7,1,1,0,1,1,5,0,1,38,8.2,1,45,0,4,37,1,1.20,2,5,-3,-1.41,-1.62,3.4,6.4,-2.9,-1.37,-1.70,66,0,14,22,32,10,66,11,5,45.5,6,54.5,41,325,126,7,1,6,5,4,44,18
42,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,24,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.4,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,86,47.9,14,86,12,0,0,12,2.21,22,9,+13,+0.97,+0.35,19.0,11.0,+8.0,+0.60,-0.02,437,357,436,1,0,0,437,0,0,0,0,0,237,1238,682,0,0,0,1,0,211,0
43,Lucien Agoume,FRA,MF,Sevilla,La Liga,23,2002,26,15,1336,14.8,0,0,0,0,0,0,4,1,0.4,0.4,0.6,1.0,16,65,14,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,14.8,31,2.09,29,0,1,1,0,0,4,0.27,3,0,0,1,0,0,633,772,82.0,9726,2925,349,383,91.1,223,265,84.2,44,79,55.7,0,0.6,0.6,-0.6,9,63,5,1,65,0,28,3,2,6,25,13,0,1,0,86,27,26,50.9,0,7,0,0.0,0.47,0.00,0.00,0,14.7,0,0,0,0.05,-0.4,-0.4,37,13,11,22,4,15,22,68.2,7,19,7,12,25,62,18,0,51,53.0,15,82,7,11,10,1,1.27,17,24,-7,-0.47,-0.62,13.9,22.6,-8.7,-0.58,-0.64,914,37,230,569,126,11,914,14,11,78.6,3,21.4,406,1857,830,16,13,2,18,6,588,14
44,Felix Agu,GER,DF,Werder Bremen,Bundliga,25,1999,14,13,1080,12.0,2,0,2,2,0,0,1,0,0.9,0.9,1.3,2.2,21,20,79,0.17,0.00,0.17,0.17,0.17,0.08,0.11,0.18,0.08,0.18,12.0,23,1.92,20,0,1,0,2,0,1,0.08,1,0,0,0,0,0,401,505,79.4,6263,1941,210,241,87.1,152,188,80.9,25,40,62.5,0,1.3,1.7,-1.3,14,13,17,10,20,0,9,23,2,29,12,9,0,0,1,37,12,19,38.7,2,4,3,75.0,0.33,0.25,0.50,0.67,10.7,0,0,0,0.23,+1.1,+1.1,18,9,9,7,2,10,17,58.8,7,13,6,7,12,30,33,0,77,46.2,13,81,6,1,30,2,1.29,18,28,-10,-0.83,-0.62,17.0,17.4,-0.3,-0.03,+0.18,639,35,210,261,170,22,639,18,6,33.3,11,61.1,329,1541,746,21,8,4,22,4,380,79
45,Álvaro Aguado,ESP,MF,Espanyol,La Liga,28,1996,12,4,407,4.5,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.5,10,25,2,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,4.5,13,2.87,12,0,0,1,0,0,0,0.00,0,0,0,0,0,0,162,211,76.8,3124,983,53,69,76.8,83,99,83.8,23,33,69.7,0,0.0,0.2,0.0,2,22,7,3,25,0,5,7,0,12,3,2,0,0,0,31,3,2,60.0,0,9,0,0.0,1.99,0.00,0.00,0,23.4,1,0,0,0.05,-0.4,-0.4,4,2,2,2,0,2,8,25.0,6,6,1,5,3,7,5,1,34,16.7,4,71,0,8,15,13,0.67,4,7,-3,-0.66,-0.22,4.3,7.6,-3.3,-0.72,+0.15,261,6,61,142,61,3,261,7,4,57.1,2,28.6,150,1160,583,10,6,1,9,3,167,2
