match_id,type_evenement,equipe_couleur,equipe_id,joueur,equipe_joueur,joueur_id,minute,xg,csc,situation,position_x,position_y
4514103,AttemptSaved,#5b417b,9941,Jaydee Canvot,Toulouse,1664722,27,0.05658862367272377,False,RegularPlay,93.3,23.648917202
4514103,AttemptSaved,#5b417b,9941,Yann Gboho,Toulouse,955411,28,0.03356647118926048,False,ThrowInSetPiece,97.6666666661,21.8272611502
4514103,Miss,#d89f00,8588,Andy Diouf,Lens,1254297,33,0.044454433023929596,False,RegularPlay,84.62475728160001,28.286904761
4514103,AttemptSaved,#5b417b,9941,Yann Gboho,Toulouse,955411,38,0.14612431824207306,False,FastBreak,91.9,42.813125
4514103,AttemptSaved,#d89f00,8588,Deiver Machado,Lens,578756,39,0.009940050542354584,False,FromCorner,79.66941747679999,42.6975
4514103,Miss,#d89f00,8588,M'Bala Nzola,Lens,613334,42,0.15435120463371277,False,FastBreak,89.9,38.956666668
4514103,Miss,#d89f00,8588,M'Bala Nzola,Lens,613334,45,0.47273537516593933,False,RegularPlay,97.4736842099,31.254999999999995
4514103,AttemptSaved,#d89f00,8588,Przemyslaw Frankowski,Lens,402419,50,0.0328010618686676,False,RegularPlay,91,22.387770704599998
4514103,AttemptSaved,#d89f00,8588,Florian Sotoca,Lens,612699,58,0.06924150139093399,False,FromCorner,95.0614035074,37.78
4514103,AttemptSaved,#d89f00,8588,Angelo Fulgini,Lens,611528,67,0.027931027114391327,False,RegularPlay,80.68300970960001,39.376904763
4514103,Miss,#d89f00,8588,Malang Sarr,Lens,782502,69,0.034183818846940994,False,SetPiece,96.3157894727,25.53375
4514103,Goal,#5b417b,9941,Zakaria Aboukhlal,Toulouse,846761,73,0.7884,False,Penalty,94,34
4514103,AttemptSaved,#5b417b,9941,Yann Gboho,Toulouse,955411,79,0.5745260715484619,False,RegularPlay,98.92105263139999,34
4514103,Post,#5b417b,9941,Denis Genreau,Toulouse,814530,84,0.09085199981927872,False,RegularPlay,101.0172413796,40.973809524
4514103,AttemptSaved,#d89f00,8588,M'Bala Nzola,Lens,613334,90,0.042388129979372025,False,RegularPlay,86.99705882319999,35.29625000000001
4514108,Miss,#294A92,9848,Sékou Mara,Strasbourg,1177312,2,0.05664809048175812,False,RegularPlay,97.1842105256,19.5852229326
4514108,Miss,#055DC6,8583,Hamed Traorè,Auxerre,875672,10,0.29816749691963196,False,FastBreak,95.35087719170001,30.244
4514108,Miss,#055DC6,8583,Gaëtan Perrin,Auxerre,708435,12,0.054371729493141174,False,RegularPlay,87.31911764680001,26.0540625
4514108,Goal,#055DC6,8583,Hamed Traorè,Auxerre,875672,14,0.2104797512292862,False,RegularPlay,97.0877192975,30.34
4514108,AttemptSaved,#055DC6,8583,Ki-Jana Hoever,Auxerre,1010733,19,0.07431405782699585,False,FastBreak,93.6,19.5852229326
4514108,Miss,#294A92,9848,Andrey Santos,Strasbourg,1372921,25,0.013881755992770195,False,RegularPlay,80.68300970960001,22.878216564699997
4514108,AttemptSaved,#055DC6,8583,Gaëtan Perrin,Auxerre,708435,33,0.08140049874782562,False,RegularPlay,98.24561403470001,45.6122292954
4514108,AttemptSaved,#294A92,9848,Emanuel Emegha,Strasbourg,1183148,37,0.058048851788043976,False,RegularPlay,93.8,47.994394901599996
4514108,Goal,#294A92,9848,Habib Diarra,Strasbourg,1285866,45,0.7884,False,Penalty,94,34
4514108,AttemptSaved,#294A92,9848,Andrey Santos,Strasbourg,1372921,50,0.04809528589248657,False,FromCorner,97.1842105256,28.623095236999998
4514108,AttemptSaved,#055DC6,8583,Jubal,Auxerre,493731,57,0.011225792579352856,False,FreeKick,55.4483333313,22.878216564699997
4514108,Miss,#055DC6,8583,Lassine Sinayoko,Auxerre,923196,58,0.03608443960547447,False,FromCorner,95.2543859636,39.545000001
4514108,Goal,#294A92,9848,Félix Lemaréchal,Strasbourg,1284071,59,0.48913097381591797,False,RegularPlay,92.9,41.483437499999994
4514108,AttemptSaved,#294A92,9848,Emanuel Emegha,Strasbourg,1183148,61,0.10206862539052963,False,RegularPlay,98.92105263139999,20.9864968186
4514108,AttemptSaved,#055DC6,8583,Ki-Jana Hoever,Auxerre,1010733,63,0.029678713530302048,False,RegularPlay,99.01754385950001,20.4259872642
4514108,AttemptSaved,#055DC6,8583,Gaëtan Perrin,Auxerre,708435,65,0.025422604754567146,False,RegularPlay,78.655825244,34.68625
4514108,AttemptSaved,#294A92,9848,Dilane Bakwa,Strasbourg,1079539,67,0.08430517464876175,False,RegularPlay,87.963235294,29.547619046
4514108,Miss,#055DC6,8583,Hamed Traorè,Auxerre,875672,71,0.04099956154823303,False,RegularPlay,90.1,24.699872616500002
4514108,Miss,#294A92,9848,Sebastian Nanasi,Strasbourg,1156569,72,0.19443334639072418,False,RegularPlay,98.24561403470001,35.75375
4514108,Miss,#055DC6,8583,Jubal,Auxerre,493731,80,0.085263192653656,False,FromCorner,99.59482758659999,40.217380953
4514108,Miss,#055DC6,8583,Paul Joly,Auxerre,1274452,82,0.029711948707699776,False,RegularPlay,96.4122807008,22.808152870399997
4514108,Goal,#294A92,9848,Emanuel Emegha,Strasbourg,1183148,87,0.9415077567100525,False,RegularPlay,103.6724137932,37.66
4514108,AttemptSaved,#294A92,9848,Jérémy Sebas,Strasbourg,1578104,90,0.1042127013206482,False,RegularPlay,94.09649122639999,23.158471341899997
4514108,AttemptSaved,#055DC6,8583,Thelonius Bair,Auxerre,942893,90,0.36241835355758667,False,RegularPlay,94.7719298231,44.981656046699996
4514108,AttemptSaved,#055DC6,8583,Ado Onaiwu,Auxerre,628310,90,0.0615767240524292,False,RegularPlay,93.6,45.1217834353
4514107,Miss,#6fb0d8,9746,Ilyes Housni,Le Havre,1404397,7,0.031824562698602676,False,RegularPlay,92.7,45.4020382125
4514107,Miss,#007EC1,8592,Adrien Rabiot,Marseille,352879,14,0.015353715978562832,False,RegularPlay,76.8538834968,51.5676433109
4514107,AttemptSaved,#007EC1,8592,Adrien Rabiot,Marseille,352879,16,0.012358698062598705,False,FromCorner,95.35087719170001,41.9459375
4514107,Miss,#007EC1,8592,Valentin Rongier,Marseille,562719,18,0.03275546059012413,False,RegularPlay,83.49854368960001,25.53375
4514107,Miss,#007EC1,8592,Mason Greenwood,Marseille,950473,23,0.026910504326224327,False,RegularPlay,81.80922330160001,25.302500000000002
4514107,Goal,#007EC1,8592,Valentin Rongier,Marseille,562719,25,0.041216786950826645,False,RegularPlay,79.8946601952,32.856249999999996
4514107,Goal,#007EC1,8592,Bilal Nadir,Marseille,1283407,39,0.09744983166456223,False,RegularPlay,96.2192982446,46.1727388498
4514107,Goal,#007EC1,8592,Neal Maupay,Marseille,391064,43,0.2925170660018921,False,RegularPlay,101.3017241382,34.533750000000005
4514107,Miss,#007EC1,8592,Neal Maupay,Marseille,391064,48,0.4937090277671814,False,RegularPlay,95.0614035074,30.797499999999996
4514107,AttemptSaved,#007EC1,8592,Neal Maupay,Marseille,391064,55,0.2290256768465042,False,RegularPlay,93.2,30.797499999999996
4514107,AttemptSaved,#007EC1,8592,Ismael Kone,Marseille,1288119,60,0.0476660281419754,False,RegularPlay,87.21176470559999,34.533750000000005
4514107,Miss,#007EC1,8592,Michael Murillo,Marseille,643635,61,0.03172537684440613,False,RegularPlay,78.3179611664,26.169687500000002
4514107,AttemptSaved,#007EC1,8592,Mason Greenwood,Marseille,950473,63,0.07410058379173279,False,RegularPlay,87.31911764680001,37.94809524
4514107,Goal,#007EC1,8592,Elye Wahi,Marseille,1213430,66,0.824512779712677,False,RegularPlay,100.1637931038,35.0675
4514107,AttemptSaved,#6fb0d8,9746,Yanis Zouaoui,Le Havre,1098243,67,0.014281940646469593,False,RegularPlay,74.150970876,41.8303125
4514107,AttemptSaved,#007EC1,8592,Mason Greenwood,Marseille,950473,68,0.03411806747317314,False,FastBreak,86.99705882319999,18.2540127409
4514107,Goal,#007EC1,8592,Ulisses Garcia,Marseille,520979,75,0.9811033010482788,False,RegularPlay,102.4396551726,33.39
4514107,Goal,#6fb0d8,9746,André Ayew,Le Havre,95955,85,0.22073844075202942,False,RegularPlay,100.44827586240001,31.4075
4514107,Miss,#6fb0d8,9746,Andy Logbo,Le Havre,1482303,90,0.18308044970035553,False,RegularPlay,101.9655172416,29.211428570000002
4514111,AttemptSaved,#d1a302,9830,Moses Simon,Nantes,467486,11,0.04405243322253227,False,FromCorner,93.9,21.547006373000002
4514111,Goal,#d1a302,9830,Matthis Abline,Nantes,1250492,12,0.24928174912929535,False,RegularPlay,94.4824561388,30.34
4514111,AttemptSaved,#d1a302,9830,Johann Lepenant,Nantes,1180481,22,0.037848442792892456,False,RegularPlay,89.9,44.000764326500004
4514111,Miss,#d1a302,9830,Matthis Abline,Nantes,1250492,23,0.026859987527132034,False,FromCorner,95.35087719170001,37.744
4514111,AttemptSaved,#C80C13,9829,Lamine Camara,Monaco,1436305,24,0.03803001716732979,False,RegularPlay,78.3179611664,33.77125
4514111,Miss,#C80C13,9829,Breel Embolo,Monaco,527103,37,0.18254032731056213,False,RegularPlay,99.21052631570001,34.68625
4514111,AttemptSaved,#d1a302,9830,Sorba Thomas,Nantes,812982,43,0.027082830667495728,False,SetPiece,80.5703883504,36.36375
4514111,Miss,#C80C13,9829,Denis Zakaria,Monaco,598355,45,0.45600104331970215,False,RegularPlay,97.7631578942,36.135000000000005
4514111,AttemptSaved,#d1a302,9830,Moses Simon,Nantes,467486,47,0.12839649617671967,False,RegularPlay,97.2807017537,36.97375
4514111,Goal,#d1a302,9830,Kelvin Amian,Nantes,683473,47,0.10502927005290985,False,RegularPlay,100.25862069,23.2985987305
4514111,Goal,#C80C13,9829,Breel Embolo,Monaco,527103,52,0.2555743455886841,False,RegularPlay,95.2543859636,25.302500000000002
4514111,AttemptSaved,#C80C13,9829,Eliesse Ben Seghir,Monaco,1393439,55,0.1289176195859909,False,RegularPlay,91.4,28.959285713000003
4514111,AttemptSaved,#C80C13,9829,Wilfried Singo,Monaco,1027472,56,0.0976746454834938,False,FromCorner,97.4736842099,28.959285713000003
4514111,Miss,#d1a302,9830,Nathan Zeze,Nantes,1429120,58,0.050451427698135376,False,FromCorner,96.605263157,31.559999999999995
4514111,Goal,#C80C13,9829,Mohammed Salisu,Monaco,938247,59,0.22941401600837708,False,FromCorner,99.6896551728,35.3725
4514111,AttemptSaved,#C80C13,9829,Eliesse Ben Seghir,Monaco,1393439,62,0.08610203117132187,False,RegularPlay,93.4,37.72
4514111,AttemptSaved,#C80C13,9829,Vanderson,Monaco,1207992,68,0.02803862653672695,False,RegularPlay,87.426470588,25.186875
4514111,Miss,#C80C13,9829,Vanderson,Monaco,1207992,73,0.9054231643676758,False,FastBreak,101.3965517244,31.78875
4514111,Miss,#C80C13,9829,Eliesse Ben Seghir,Monaco,1393439,74,0.018389049917459488,False,RegularPlay,76.1781553416,31.1025
4514111,AttemptSaved,#C80C13,9829,Vanderson,Monaco,1207992,80,0.023186786100268364,False,RegularPlay,91.6,20.706242041399996
4514111,Miss,#C80C13,9829,Wilfried Singo,Monaco,1027472,81,0.23222139477729797,False,RegularPlay,95.640350876,26.0540625
4514111,AttemptSaved,#C80C13,9829,Breel Embolo,Monaco,527103,81,0.842833936214447,False,RegularPlay,101.3965517244,35.29625000000001
4514111,Post,#d1a302,9830,Moses Simon,Nantes,467486,82,0.09656299650669098,False,RegularPlay,95.640350876,45.4020382125
4514111,AttemptSaved,#d1a302,9830,Douglas Augusto,Nantes,671961,85,0.04005546495318413,False,RegularPlay,84.62475728160001,44.5612738809
4514111,AttemptSaved,#C80C13,9829,Lamine Camara,Monaco,1436305,90,0.06173640862107277,False,FreeKick,81.471359224,43.1021875
4514112,AttemptSaved,#E01D13,8639,Benjamin André,Lille,148830,9,0.019135193899273872,False,RegularPlay,76.1781553416,44.5612738809
4514112,Miss,#055DC6,8583,Hamed Traorè,Auxerre,875672,22,0.11224144697189331,False,RegularPlay,91.9,38.284285716
4514112,AttemptSaved,#055DC6,8583,Paul Joly,Auxerre,1274452,25,0.05760686844587326,False,RegularPlay,89.4,17.1329936321
